"Date","Open","High","Low","Close","Volume"
"2017-09-06",55.01,55.2,54.49,54.67,34812
"2017-09-05",54.98,55.45,54.95,55.23,43224
"2017-09-04",54.49,54.95,53.8,54.93,42546
"2017-09-01",54.6,54.8,54.05,54.16,50260
"2017-08-31",55.01,55.32,54.55,54.69,34576
"2017-08-30",55.02,55.3,54.8,55,31341
"2017-08-29",55.3,55.3,54.98,55.04,22794
"2017-08-28",55.7,55.95,55.1,55.28,43761
"2017-08-25",55.48,55.63,55.21,55.6,20850
"2017-08-24",55.41,55.65,54.7,55.24,21269
"2017-08-23",55.8,55.96,55.35,55.4,16526
"2017-08-22",56,56.18,55.6,55.82,16714
"2017-08-21",55.7,56.17,55.55,55.97,16286
"2017-08-18",56.38,56.66,55.43,55.75,40872
"2017-08-17",56.12,56.72,56.01,56.39,22041
"2017-08-16",56.84,56.88,56.01,56.47,21585
"2017-08-15",56.96,57.05,56.45,56.82,27829
"2017-08-14",56.01,57.11,56,56.96,47030
"2017-08-11",55.8,56.84,55.6,55.76,41688
"2017-08-10",56.6,56.73,55.8,56.08,35550
"2017-08-09",54.6,57.05,54.6,56.5,64188
"2017-08-08",55.03,55.07,54.48,54.59,20337
"2017-08-07",54.53,55.14,54.35,55.06,19891
"2017-08-04",54.9,55.19,54.47,54.52,26167
"2017-08-03",55.38,55.57,54.9,54.98,26368
"2017-08-02",56.3,56.3,55.3,55.41,26295
"2017-08-01",56.25,56.59,55.81,56.18,22577
"2017-07-31",55.47,56.56,54.95,56.51,47269
"2017-07-28",55.31,55.88,55.2,55.47,21662
"2017-07-27",55.21,55.45,54.82,55.29,27274
"2017-07-26",56.25,56.25,54.95,55.21,45186
"2017-07-25",56.4,57.19,56.16,56.3,44666
"2017-07-24",56,56.6,55.77,55.84,27700
"2017-07-21",56.6,56.78,56.08,56.16,23377
"2017-07-20",56.17,56.72,55.81,56.53,39301
"2017-07-19",55.5,56.35,55.01,56.17,38329
"2017-07-18",54.7,55.85,54.7,55.53,34438
"2017-07-17",57,57.35,52.94,54.8,68268
"2017-07-14",56.88,57.17,56.5,57.12,33406
"2017-07-13",57.11,57.68,56.71,56.85,43060
"2017-07-12",58.2,58.6,56.89,57.34,59037
"2017-07-11",57.85,58.97,57.7,58.51,48586
"2017-07-10",57.73,58.46,57.19,58.05,38213
