"Date","Open","High","Low","Close","Volume"
"2018-01-11",38.61,39.4,38.46,39.12,328072
"2018-01-10",38.7,39.14,38.3,38.74,357736
"2018-01-09",39,39.49,38.68,38.93,414088
"2018-01-08",39.65,39.78,38.17,38.85,524887
"2018-01-05",40.08,40.25,39.44,39.52,313472
"2018-01-04",40.73,40.97,39.52,39.78,574725
"2018-01-03",42.02,42.55,40.43,40.66,416359
"2018-01-02",41.58,42.65,41.15,41.91,305573
"2017-12-29",42.28,42.48,41.2,41.42,176106
"2017-12-28",42.15,42.53,41.09,42.42,241113
"2017-12-27",43.41,43.5,41.96,42.26,261746
"2017-12-26",43.2,43.99,42.6,43.83,212011
"2017-12-25",43.7,44.86,42.76,43.17,237010
"2017-12-22",44,44.45,43.5,43.88,133054
"2017-12-21",43.34,45.01,42.75,44.09,234859
"2017-12-20",43.18,43.88,42.81,43.58,157443
"2017-12-19",41.4,43.68,41.3,43.19,329254
"2017-12-18",41.51,41.99,40.61,41.47,221090
"2017-12-15",41.39,41.95,41.3,41.51,155137
"2017-12-14",42,42.12,41.35,41.66,151000
"2017-12-13",42.02,42.55,40.82,42.21,233816
"2017-12-12",43.6,43.75,41.92,42.06,275794
"2017-12-11",42.72,43.9,42.33,43.88,257016
"2017-12-08",42.09,43.25,41.3,42.92,231602
"2017-12-07",42.4,42.75,41.41,42.1,161801
"2017-12-06",43.43,43.46,41.5,42.7,244790
"2017-12-05",42.1,44,42.01,43.64,336408
"2017-12-04",40.85,43.12,40.75,42.46,334652
"2017-12-01",41.52,41.94,40.69,40.86,271945
"2017-11-30",42.62,42.65,40.72,41.74,312306
"2017-11-29",44.29,44.75,42.25,42.78,240979
"2017-11-28",44.56,45,43.7,44.09,167116
"2017-11-27",44.65,44.95,43.24,44.86,315217
"2017-11-24",44.72,45.47,43.76,44.9,368008
"2017-11-23",46.66,47.32,44.48,45.11,334552
"2017-11-22",48.25,48.7,45.81,46.52,288025
"2017-11-21",47.5,49,46.98,47.76,319254
"2017-11-20",47.13,49.12,46.81,47.71,317861
"2017-11-17",46.08,47.8,45.8,47.74,391396
"2017-11-16",43.4,46.63,43.31,46.06,313901
"2017-11-15",43.49,44.6,43.07,43.63,220503
"2017-11-14",44.53,45.1,43.15,43.85,303048
"2017-11-13",44.6,45.75,43.72,44.24,254375
"2017-11-10",42.49,45.15,42.13,44.41,407945
"2017-11-09",42.21,42.63,41.8,42.51,190433
"2017-11-08",43.44,44,41.8,42.39,296887
"2017-11-07",42.35,44.1,42.14,43.69,260404
"2017-11-06",43.08,43.13,41.51,42.32,222674
"2017-11-03",42.8,43.45,42.4,43.38,151946
"2017-11-02",42.9,43.2,41.55,43.17,188706
"2017-11-01",42.8,44.15,42.51,43.14,250766
"2017-10-31",41.7,42.99,41.38,42.78,165568
"2017-10-30",41.78,42.88,41.4,42.06,205887
"2017-10-27",40.7,41.8,40.45,41.52,173385
"2017-10-26",39.45,41,39.39,40.55,200816
"2017-10-25",39.5,39.92,39.18,39.65,89771
"2017-10-24",39.01,40.13,38.8,39.56,147584
"2017-10-23",39.2,39.66,38.86,39.23,110724
"2017-10-20",39.59,39.59,38.71,38.88,106932
"2017-10-19",39.5,39.93,39.29,39.89,163958
"2017-10-18",38.68,39.79,38.3,39.57,206741
"2017-10-17",38.48,38.97,38.06,38.75,162940
"2017-10-16",37,38.74,36.75,38.57,266777
"2017-10-13",37.5,37.75,37.11,37.14,124657
"2017-10-12",36.55,37.58,36.45,37.35,151533
"2017-10-11",35.95,36.95,35.77,36.69,255102
"2017-10-10",36.77,37.26,35.46,35.98,384139
"2017-10-09",37.9,37.94,36.58,36.68,231363
"2017-09-29",36.49,37.33,36.4,36.93,187612
"2017-09-28",36.66,36.77,36.2,36.71,166557
"2017-09-27",37.51,37.61,36.53,36.6,165898
"2017-09-26",37.65,38.02,37.31,37.67,153664
"2017-09-25",37,38.06,36.98,37.89,204443
"2017-09-22",36.59,37.5,36.59,37.11,175079
"2017-09-21",36.07,37.08,35.8,36.73,235854
"2017-09-20",36.52,36.59,35.93,35.96,186889
"2017-09-19",36.58,37.28,36.3,36.63,157898
"2017-09-18",36.76,37.3,36.35,36.37,223446
"2017-09-15",36.78,36.96,36.11,36.73,164778
"2017-09-14",37.88,38.2,36.57,36.85,204699
"2017-09-13",37.81,38.18,37.37,37.92,132694
"2017-09-12",37.26,38.11,36.7,38.09,243871
"2017-09-11",38.6,38.6,36.99,37.01,251999
"2017-09-08",38.99,38.99,38.22,38.32,106975
"2017-09-07",38.9,39.25,38.47,38.69,155270
"2017-09-06",39.09,39.46,38.77,38.84,193069
"2017-09-05",38.06,39.86,37.71,39.65,274140
"2017-09-04",38.1,38.12,37.33,37.88,200788
"2017-09-01",38.5,39.2,37.59,38.26,204659
"2017-08-31",38.56,39.46,38.18,38.22,204446
"2017-08-30",38.53,39.95,38.05,38.3,250972
"2017-08-29",38.18,38.86,37.7,38.43,151736
"2017-08-28",37.88,39.2,37.88,38.32,362603
"2017-08-25",35.5,37.22,35.23,37.21,238195
"2017-08-24",35.2,36,35.1,35.48,172074
"2017-08-23",34.92,35.43,34.77,35.12,165469
"2017-08-22",33.67,34.89,33.6,34.87,252794
"2017-08-21",33.81,34,33.56,33.63,93857
"2017-08-18",33.65,34.19,33.38,33.76,151143
"2017-08-17",34.41,34.49,33.55,33.65,113618
"2017-08-16",34.1,34.39,33.76,34.29,85910
"2017-08-15",34.05,35.32,34.05,34.4,151259
"2017-08-14",33.79,34.55,33.53,34.03,127413
"2017-08-11",33.67,34.17,33.05,33.99,222808
"2017-08-10",34.36,34.53,33.26,34.12,204863
"2017-08-09",34.44,34.93,34.1,34.36,97451
"2017-08-08",34.77,35.08,34.09,34.68,137099
"2017-08-07",34.21,35.26,34,34.79,155474
"2017-08-04",34.5,35.12,33.9,34.16,152086
"2017-08-03",35.2,35.7,34.51,34.52,135542
"2017-08-02",35.35,35.9,34.59,35.46,248201
"2017-08-01",33.736,35.098,33.52,35.089,346677
"2017-07-31",33.52,33.824,33.108,33.5,225653
"2017-07-28",33.461,33.951,33.138,33.52,140957
"2017-07-27",33.422,33.755,32.834,33.687,225723
"2017-07-26",33.824,33.902,32.765,33.687,281603
"2017-07-25",34.049,34.745,33.716,33.912,233007
"2017-07-24",34.236,34.755,33.892,33.932,226839
"2017-07-21",34.451,34.51,33.922,34.108,152234
"2017-07-20",34.657,34.951,34.04,34.647,270460
"2017-07-19",35.098,35.667,34.461,34.902,242490
"2017-07-18",35,35.745,34.324,35.275,179146
"2017-07-17",34.706,35.785,34.118,34.961,278567
"2017-07-14",34.314,34.638,33.804,34.608,222635
"2017-07-13",33.902,34.608,33.755,34.451,167461
"2017-07-12",34.804,35.442,33.677,33.814,217429
"2017-07-11",34.353,35.353,34.314,34.853,181964
"2017-07-10",34.069,35.03,33.843,34.353,112238
"2017-07-07",34.069,34.638,33.755,34.03,103102
"2017-07-06",33.628,34.853,33.412,34.177,286498
"2017-07-05",32.138,34.01,31.971,33.794,351666
"2017-07-04",32.451,32.5,31.52,32.422,295022
"2017-07-03",33.138,33.304,32.069,32.559,262974
"2017-06-30",32.765,33.324,32.677,33.206,172224
"2017-06-29",32.765,33.177,32.236,33.089,161079
"2017-06-28",32.853,32.981,32.255,32.285,161843
"2017-06-27",32.961,33.285,32.226,33.187,187351
"2017-06-26",32.549,33.687,32.402,32.981,355487
"2017-06-23",32.559,32.716,32.059,32.598,232535
"2017-06-22",31.608,33.02,31.569,32.559,364759
"2017-06-21",31.157,31.814,30.745,31.598,222567
"2017-06-20",31.549,31.745,30.608,31.059,242791
"2017-06-19",31.03,31.941,31.02,31.549,216026
"2017-06-16",31.01,31.402,30.883,31.02,191103
"2017-06-15",30.941,31.432,30.628,30.902,210152
"2017-06-14",31.902,32.138,30.834,31.069,249727
"2017-06-13",31.961,32.236,31.383,32.157,184816
"2017-06-12",31.618,32.843,31.422,32.098,324887
"2017-06-09",30.834,31.981,30.687,31.461,412313
"2017-06-08",30.049,30.804,29.628,30.608,306083
"2017-06-07",29.069,30.49,28.981,30.059,390400
"2017-06-06",28.628,29.157,28.559,28.961,197087
"2017-06-05",29.265,29.412,28.451,28.824,230680
"2017-06-02",29.912,30.196,29.412,29.51,214670
"2017-06-01",29.912,30.206,29.314,30.187,337482
"2017-05-31",29.412,30.461,29.265,29.755,327887
"2017-05-26",29.206,29.608,29.069,29.353,312657
"2017-05-25",28.02,29.177,28.02,29.167,356644
"2017-05-24",28.432,28.559,27.441,28.275,248392
"2017-05-23",28.089,28.794,27.922,28.481,485488
